municipio,actividad_principal,codigo_ciiu,cargo_del_solicitante,clasificación_de_la_empresa,sector_económico
medellin,otras actividades especializadas para la construcción de edificios y obras de ingeniería civil.,f.43.439.,licitaciones y presupuestos,pequeña,construccion
medellin,otras industrias manufactureras.,c.32.,coordinadora recursos humanos,pequeña,industria manufacturera
medellin,construcción de otras obras de ingeniería civil.,f.42.429.,recursos humanos,pequeña,construccion
envigado,"comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados.",g.47.472.4729,auxiliar gestion humano,mediana,alimentos
sabaneta,actividades inmobiliarias,l.,auxiliar gestion humana,pequeña,inmobiliar
medellin,actividades de limpieza.,n.81.812.,auxiliar gestion humana,mediana,limpieza
medellin,"actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas).",j.62.620.6201,personal,pequeña,sofware
medellin,extracción de otros minerales metalíferos no ferrosos n.c.p.,b.07.072.0729,personal,mediana,explotación minas/canteras
medellin,alojamiento y servicios de comida.,i.,personal,pequeña,"comercio, hoteles y restaurantes"
medellin,elaboración de productos alimenticios.,c.10.,gestión humana,pequeña,"comercio, hoteles y restaurantes"
medellin,"fotocopiado, preparación de documentos y otras actividades especializadas de apoyo a oficina.",n.82.821.8219,gerente,pequeña,"servicios comunales, sociales y personales"
medellin,"comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas y tabaco.",g.47.471.4719,jefe de cartera,pequeña,"comercio, hoteles y restaurantes"
medellin,obras de ingeniería civil.,f.42.,ingeniera ambiental,mediana,construccion
medellin,construcción de otras obras de ingeniería civil.,f.42.429.,coordinadora administrativa,pequeña,construccion
medellin,"comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores.",g.45.453.,recursos humanos,mediana,"comercio, hoteles y restaurantes"
medellin,comercio al por menor en establecimientos no especializados.,g.47.471.,gerente,pequeña,"comercio, hoteles y restaurantes"
medellin,elaboración de alimentos preparados para animales.,c.10.109.,personal,pequeña,otro
medellin,actividades de otras asociaciones.,s.94.949.,coordinadora de convenios,pequeña,"servicios comunales, sociales y personales"
medellin,"fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores.",c.29.293.2930,jefe de producción,pequeña,industria manufacturera
medellin,educación básica secundaria.,p.85.852.8521,psicologa,mediana,"servicios comunales, sociales y personales"
itagui,comercio al por mayor especializado de otros productos.,g.46.466.,recursos humanos,pequeña,construccion
medellin,actividades de impresión y actividades de servicios relacionados con la impresión.,c.18.181.,representante,pequeña,comunicaciones
medellin,educación,p.,director administrativo,mediana,"servicios comunales, sociales y personales"
medellin,publicidad y estudios de mercado.,m.73.,psicóloga,mediana,"servicios comunales, sociales y personales"
medellin,fabricación de productos textiles.,c.13.,gerente,pequeña,industria manufacturera
medellin,comercio al por menor en establecimientos no especializados.,g.47.471.,gerente,pequeña,"comercio, hoteles y restaurantes"
medellin,alojamiento en hoteles.,i.55.551.5511,auxiliar administrativa,pequeña,"comercio, hoteles y restaurantes"
medellin,educación,p.,coordinadora gestión humana,mediana,educación
medellin,"comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción.",g.46.466.4663,gestion humana,pequeña,construccion
envigado,actividades de arquitectura e ingeniería; ensayos y análisis técnicos.,m.71.,gerente,pequeña,topografia
medellin,educación superior.,p.85.854.,consultor,grande,educacion
medellin,elaboración de productos alimenticios.,c.10.,gerente comercial,pequeña,"comercio, hoteles y restaurantes"
medellin,construcción de otras obras de ingeniería civil.,f.42.429.,jefe de talento humano,pequeña,construccion
medellin,transporte de pasajeros.,h.49.492.4921,asistente administrativa,mediana,transporte y almacenamiento
medellin,publicidad y estudios de mercado.,m.73.,recursos humanos,pequeña,comunicaciones
medellin,"comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores.",g.45.453.,contratacion,pequeña,"comercio, hoteles y restaurantes"
medellin,terminación y acabado de edificios y obras de ingeniería civil.,f.43.433.,director administrativo,mediana,construccion
envigado,actividades deportivas.,r.93.931.,coordinadora de seleccion,pequeña,"servicios comunales, sociales y personales"
medellin,actividades de consultoría informática y actividades de administración de instalaciones informáticas.,j.62.620.6202,administrador,pequeña,informatic
medellin,"comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores.",g.45.453.,coordinadora credito y cartera,pequeña,"comercio, hoteles y restaurantes"
copacabana,fabricación de vidrio y productos de vidrio.,c.23.231.,coordinadora gestion humana,pequeña,industria manufacturera
medellin,confección de prendas de vestir.,c.14.,coordinador gestion humana,pequeña,industria manufacturera
medellin,construcción de otras obras de ingeniería civil.,f.42.429.,gerente,pequeña,construccion
medellin,"comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores.",g.45.453.,gerente,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de otros productos en establecimientos especializados.,g.47.477.,gerente,mediana,"comercio, hoteles y restaurantes"
medellin,prestación de servicios a la comunidad en general.,o.84.842.,profewsional socioempresarial,pequeña,"servicios comunales, sociales y personales"
medellin,transporte y almacenamiento,h.,psicologa,grande,"distribucion, comercializacion y transporte de combustibles"
medellin,comercio al por mayor no especializado.,g.46.469.,analista de seleccion,grande,servicios de talento humano
medellin,comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados.,g.47.477.4772,representante legal,mediana,marroquineria
envigado,publicidad.,m.73.731.,recursos humanos,mediana,comunicaciones
medellin,"comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados.",g.47.474.4741,recursos humanos-abogada,mediana,comunicaciones
medellin,terminación y acabado de edificios y obras de ingeniería civil.,f.43.433.,responsable del personal,pequeña,construccion
medellin,publicidad y estudios de mercado.,m.73.,direcora gestion humana,pequeña,comunicaciones
medellin,obras de ingeniería civil.,f.42.,auxiliar administrativo,pequeña,construccion
caldas,"aserrado, acepillado e impregnación de la madera.",c.16.161.,gestion humana,pequeña,industria manufacturera
sabaneta,mantenimiento y reparación especializado de equipo electrónico y óptico.,c.33.331.3313,secretaria,pequeña,importacio
medellin,construcción de otras obras de ingeniería civil.,f.42.429.,recursos humanos,mediana,construccion
envigado,"actividades de las agencias de viajes, operadores turísticos, servicios de reserva y actividades relacionadas.",n.79.,ejecutiva de ventas,pequeña,servicios
medellin,comercio al por mayor especializado de otros productos.,g.46.466.,director comercial regional,mediana,"comercio, hoteles y restaurantes"
medellin,mantenimiento y reparación especializado de maquinaria y equipo.,c.33.331.3312,asistente administrativa,mediana,mantenimie
bello,distribución de energía eléctrica.,d.35.351.3513,dir administrativa,pequeña,electricidad/gas-suministro
sabaneta,otras industrias manufactureras.,c.32.,coordinadora de seleccion y bienestar,grande,industria manufacturera
medellin,industrias manufactureras,c.,analista de seleccion,grande,industria manufacturera
